distance,fuel,location,make,model,price,resource,year
288999.0,Dizel,Podgorica,Audi,A6,7999.0,autodiler.me,2007
22000.0,Dizel,Podgorica,Land Rover,Range Rover Sport,75000.0,autodiler.me,2021
285000.0,Dizel,Podgorica,Mercedes Benz,E 220,5050.0,autodiler.me,2003
189000.0,Dizel,Cetinje,Renault,Kangoo,9900.0,autodiler.me,2018
195583.0,Dizel,Podgorica,Dacia,Duster,10900.0,autodiler.me,2015
191775.0,Dizel,Kotor,Volvo,XC 90,39980.0,autodiler.me,2017
135000.0,Dizel,Nikšić,Renault,Megane,12700.0,autodiler.me,2020
276000.0,Dizel,Nikšić,Volkswagen,Touran,5300.0,autodiler.me,2007
250000.0,Dizel,Podgorica,Audi,A4,7800.0,autodiler.me,2009
163750.0,Dizel,Pljevlja,Audi,Q5,22600.0,autodiler.me,2016
176250.0,Dizel,Podgorica,Audi,A6,16900.0,autodiler.me,2014
173000.0,Dizel,Cetinje,Audi,A3,15950.0,autodiler.me,2017
60000.0,Dizel,Podgorica,Volkswagen,Golf 8,25500.0,autodiler.me,2020
240000.0,Dizel,Podgorica,BMW,X3,17200.0,autodiler.me,2011
241000.0,Dizel,Podgorica,Mini,Countryman,9450.0,autodiler.me,2010
220000.0,Dizel,Podgorica,Renault,Megane,11850.0,autodiler.me,2017
182000.0,Dizel,Podgorica,Mercedes Benz,B 180,13500.0,autodiler.me,2012
130652.0,Dizel,Podgorica,Audi,Q3,37980.0,autodiler.me,2019
212908.0,Dizel,Herceg Novi,Mercedes Benz,GLA 200,17750.0,autodiler.me,2014
24000.0,Hibrid,Podgorica,Audi,Q8,99100.0,autodiler.me,2022
240329.0,Dizel,Herceg Novi,Mazda,BT,13500.0,autodiler.me,2011
218597.0,Dizel,Herceg Novi,Alfa Romeo,Giulietta,6500.0,autodiler.me,2010
177000.0,Dizel,Danilovgrad,Citroen,C5 Aircross,18950.0,autodiler.me,2021
144000.0,Dizel,Nikšić,Mazda,CX,17800.0,autodiler.me,2015
246325.0,Dizel,Podgorica,Audi,A6,20800.0,autodiler.me,2016
153000.0,Dizel,Cetinje,Peugeot,508,22950.0,autodiler.me,2018
155000.0,Dizel,Cetinje,Peugeot,3008,20450.0,autodiler.me,2019
134000.0,Dizel,Cetinje,Renault,Talisman,14450.0,autodiler.me,2018
184000.0,Dizel,Cetinje,Mazda,6,16750.0,autodiler.me,2015
27800.0,Dizel,Nikšić,Volkswagen,Golf 7,19500.0,autodiler.me,2020
247000.0,Dizel,Bijelo Polje,Audi,A4,9700.0,autodiler.me,2009
126460.0,Hibrid,Podgorica,Audi,A6,52500.0,autodiler.me,2019
180500.0,Dizel,Podgorica,Mitsubishi,Pajero,19900.0,autodiler.me,2007
500.0,Benzin,Podgorica,Chevrolet,Camaro,19999.0,autodiler.me,1978
51311.0,Dizel,Podgorica,Volkswagen,Golf 7,17990.0,autodiler.me,2019
118200.0,Dizel,Tivat,Volkswagen,Eos,8100.0,autodiler.me,2007
231000.0,Dizel,Nikšić,Audi,A6 Allroad,29500.0,autodiler.me,2015
114410.0,Dizel,Podgorica,Mercedes Benz,V class,46480.0,autodiler.me,2017
213535.0,Dizel,Podgorica,Volkswagen,Passat,6200.0,autodiler.me,2010
92000.0,Dizel,Podgorica,Renault,Captur,10800.0,autodiler.me,2014
